C1
S2
C1h
C2
C2h
D2
C2v
D2h
C4
S4
C4h
D4
C4v
D2d
D4h
C3
S6
D3
C3v
D3d
C6
C3h
C6h
D6
C6v
D3h
D6h
T
Th
O
Td
Oh
